Title,Author,Fandom,Relationship,Date,Word Number,Chapters,Kudos
insomnia!,Sugarcream,Naruto (Anime & Manga),Haruno Sakura/Uchiha Obito,16 Jun 2024,"1,781",1/1,5
Uchiha Erotic History,Sixichenpi,Naruto (Anime & Manga),Haruno Sakura/Uchiha Sasuke,08 Jun 2024,"16,038",7/7,43
how much do you love me?,Sugarcream,Naruto (Anime & Manga),Haruno Sakura/Hatake Kakashi,29 May 2024,703,1/1,4
Intimacy,witheredbluebell,Naruto (Anime & Manga),Haruno Sakura/Uchiha Obito,26 May 2024,"3,862",1/1,43
orange skin,Sugarcream,Naruto (Anime & Manga),Haruno Sakura/Uchiha Obito,08 May 2024,"2,966",1/1,9
Cherry Blossom Corruption,Shiodoru,Naruto,Haruno Sakura/Uchiha Obito,28 Apr 2024,"16,772",8/8,74
ethic,Sugarcream,Naruto (Anime & Manga),Haruno Sakura/Uchiha Shisui,24 Apr 2024,"4,771",3/3,6
occupied,Sugarcream,Naruto (Anime & Manga),Haruno Sakura/Uchiha Obito,22 Apr 2024,"3,774",1/1,4
comfort her?,Sugarcream,Naruto (Anime & Manga),Haruno Sakura/Hatake Kakashi,21 Apr 2024,"3,117",3/3,4
a loving theme,Sugarcream,Naruto (Anime & Manga),Haruno Sakura/Uchiha Shisui,14 Apr 2024,"9,687",1/1,7
run away with me,Sugarcream,Naruto (Anime & Manga),Haruno Sakura/Hatake Kakashi,04 Apr 2024,"3,775",3/3,3
night's demon,Sugarcream,Naruto (Anime & Manga),Haruno Sakura/Uchiha Obito,03 Apr 2024,"1,893",2/2,5
ASA,Sugarcream,Naruto (Anime & Manga),Haruno Sakura/Uchiha Obito,30 Mar 2024,"1,457",2/2,5
extending shibuya story,Sugarcream,Naruto (Anime & Manga),Haruno Sakura/Uchiha Shisui,28 Mar 2024,"31,152",2/2,3
Touch,TheNightBeauty,Naruto (Anime & Manga),Haruno Sakura/Uchiha Obito,26 Mar 2024,"16,701",3/3,136
stories told on her sleepless nights,Sugarcream,Naruto (Anime & Manga),Haruno Sakura/Hatake Kakashi,13 Mar 2024,"5,519",3/3,4
Hallucinating,Sugarcream,Naruto (Anime & Manga),Haruno Sakura/Uchiha Obito,12 Mar 2024,"2,564",1/1,3
licorice,Sugarcream,Naruto (Anime & Manga),Haruno Sakura/Uchiha Obito,08 Mar 2024,"1,036",1/1,5
ice cream & embrace,Sugarcream,Naruto (Anime & Manga),Haruno Sakura/Uchiha Obito,02 Mar 2024,"1,743",1/1,5
Rebirth,Raiurune,Naruto,Haruno Sakura/Uchiha Sasuke,28 Feb 2024,"31,395",10/?,"2,534"
Reborn,smuttystrawberry,Naruto,Nohara Rin/Uchiha Obito,25 Feb 2024,"43,064",9/?,925
Recidivist,Sugarcream,Naruto (Anime & Manga),Haruno Sakura/Uchiha Obito,24 Jan 2024,"2,554",3/3,12
Nectar of the Gods,efflictim,Naruto (Anime & Manga),Haruno Sakura/Uchiha Madara,23 Jan 2024,"2,322",1/?,100
sweet as wine,Sugarcream,Naruto (Anime & Manga),Haruno Sakura/Uchiha Shisui,15 Jan 2024,"15,879",2/2,2
dick pic,Sugarcream,Naruto (Anime & Manga),Haruno Sakura/Hatake Kakashi,06 Jan 2024,"3,364",1/1,17
Get him back!,Sugarcream,Naruto (Anime & Manga),Haruno Sakura/Uchiha Obito,02 Dec 2023,"13,403",2/2,4
Precious dear,Sugarcream,Naruto (Anime & Manga),Haruno Sakura/Uchiha Obito,26 Nov 2023,"10,026",1/1,7
The Soul That I Love,KiraiFreya,Naruto (Anime & Manga),Haruno Sakura/Uchiha Obito,19 Nov 2023,"4,567",1/2,97
ObiTold you so-I'm going to be a great dad!,DuchessAri,Naruto (Anime & Manga),Haruno Sakura/Uchiha Obito,18 Nov 2023,"6,088",1/1,78
Velvety pin,Sugarcream,Naruto (Anime & Manga),Haruno Sakura/Uchiha Shisui,16 Nov 2023,"3,269",3/3,16
Donkey's skin/Tiger's skin,Sugarcream,Naruto,Haruno Sakura/Uchiha Obito,02 Nov 2023,"6,246",6/6,29
That moon is my declaration to you,Sugarcream,Naruto,Haruno Sakura/Uchiha Obito,14 Oct 2023,"10,887",6/6,24
Agnail,Sugarcream,Naruto,Haruno Sakura/Uchiha Obito,12 Oct 2023,"17,201",2/2,5
arcade,iwriteatdawn,Naruto,Haruno Sakura/Uchiha Obito,04 Oct 2023,"7,085",4/?,43
"You are my hubby, for real?",Sugarcream,Naruto,Haruno Sakura/Hatake Kakashi,02 Oct 2023,"9,130",3/3,16
Gangsta,Kakashis_Okami,Naruto,Haruno Sakura/Uchiha Obito,29 Sep 2023,"2,082",1/3,14
Gunny,Sugarcream,Naruto,Haruno Sakura/Hatake Kakashi/Uchiha Obito,26 Sep 2023,"32,154",2/2,13
Favorableness,Sugarcream,Naruto,Haruno Sakura/Uchiha Obito,18 Sep 2023,"9,718",1/1,10
Warrior not worrier,Miluiel,Naruto,Hatake Kakashi/Umino Iruka,25 Aug 2023,"2,385",2/?,54
stay still,summersirius,Naruto,Haruno Sakura/Uchiha Obito,13 Aug 2023,"1,000",1/1,179
